o_lon,o_lat,d_lon,d_lat,count,from_node,to_node
114.1182376,22.56567127,114.1167791,22.54823711,27,537,530
114.0597198,22.52591345,114.051626,22.51117383,27,413,383
114.1136231,22.54241739,114.1142416,22.53596639,27,519,523
114.0357464,22.54152815,114.0234096,22.53944781,27,329,312
114.1153265,22.5588081,114.1017317,22.55859362,27,527,495
113.950014,22.57141464,113.953809,22.55115046,27,208,216
113.9199821,22.53534908,113.9186832,22.52710131,27,82,75
113.9633477,22.54208418,113.9914595,22.54374858,26,239,277
113.9340732,22.6281765,113.9494284,22.57980162,26,138,203
114.1242389,22.59195711,114.1329896,22.5844014,26,553,580
114.1259119,22.54950226,114.1063186,22.54472798,26,561,505
113.9243714,22.52956273,113.9491413,22.54326376,26,96,202
114.0597198,22.52591345,114.0509944,22.51818853,26,413,373
114.1644832,22.5627503,114.1361313,22.54951279,26,611,590
113.9146524,22.52693923,113.9084227,22.51486106,25,64,43
113.9103595,22.53126836,113.891893,22.50419438,25,52,22
113.9103595,22.53126836,113.9328302,22.52460435,25,52,129
113.9206722,22.51237556,113.9122306,22.49072078,25,87,58
114.1374593,22.56901485,114.1142416,22.53596639,25,592,523
113.9186832,22.52710131,113.9142148,22.51818294,25,75,62
114.0374545,22.52361807,113.9328302,22.52460435,25,334,129
113.9494284,22.57980162,113.9336253,22.54256673,25,203,135
114.1644832,22.5627503,114.1574717,22.56102782,25,611,603
113.9124902,22.51975214,113.9328302,22.52460435,25,59,129
113.9243675,22.50269741,113.9328845,22.50312846,25,95,131
113.8861314,22.49759444,113.9035937,22.51661875,25,15,36
114.1259119,22.54950226,114.1142416,22.53596639,25,561,523
114.1338632,22.54921672,114.1137426,22.54592857,25,583,521
114.1361313,22.54951279,114.1137426,22.54592857,25,590,521
114.1431392,22.55029515,114.1338632,22.54921672,24,599,583
113.9194863,22.53051904,113.9328302,22.52460435,24,79,129
113.9221011,22.51789094,113.9328302,22.52460435,24,89,129
114.0311165,22.52390555,114.051626,22.51117383,24,318,383
113.9633477,22.54208418,114.0140182,22.53785655,24,239,301
114.0515339,22.52579823,114.051626,22.51117383,24,382,383
114.0542878,22.56237068,114.0677747,22.5580683,24,389,427
113.9243714,22.52956273,113.9406558,22.54287695,24,96,164
114.1334875,22.57130371,114.1250329,22.57004496,24,582,558
114.0487663,22.51081322,114.051626,22.51117383,24,370,383
114.1374593,22.56901485,114.1259119,22.54950226,24,592,561
113.9190799,22.54314415,113.9491413,22.54326376,24,77,202
114.1350728,22.55860698,114.1574717,22.56102782,24,587,603
114.1644832,22.5627503,114.1063186,22.54472798,24,611,505
113.950014,22.57141464,113.940445,22.55527886,23,208,159
114.1182376,22.56567127,114.1172394,22.55115992,23,537,533
114.1040792,22.55862876,114.1063186,22.54472798,23,501,505
114.1644832,22.5627503,114.1251654,22.55918041,23,611,559
114.0122593,22.54296339,114.0095038,22.54774557,23,298,294
113.9183624,22.5556891,113.940445,22.55527886,23,72,159
113.9409258,22.53000389,113.9404917,22.55274673,23,171,160
113.9940013,22.52729009,113.9328302,22.52460435,23,281,129
114.1142416,22.53596639,114.1136231,22.54241739,23,523,519
113.9102541,22.53969,113.9336253,22.54256673,22,51,135
114.1063186,22.54472798,114.1063186,22.54472798,22,505,505
114.1361313,22.54951279,114.1063186,22.54472798,22,590,505
114.0486119,22.51236018,114.0509944,22.51818853,22,368,373
114.0439385,22.55674539,114.0542878,22.56237068,22,349,389
113.940616,22.54616779,113.947053,22.55887657,22,162,193
113.8990034,22.48061579,113.9085402,22.4799661,22,30,46
114.112869,22.58470988,114.1182376,22.56567127,22,518,537
113.9509113,22.57905941,113.947053,22.55887657,22,211,193
113.9691219,22.61983592,113.9494284,22.57980162,22,248,203
114.1338632,22.54921672,114.1644832,22.5627503,22,583,611
114.1374593,22.56901485,114.1218944,22.54724533,21,592,545
114.0509944,22.51818853,114.0486119,22.51236018,21,373,368
113.9509113,22.57905941,113.9491413,22.54326376,21,211,202
113.9155517,22.54329581,113.9491413,22.54326376,21,67,202
113.9103595,22.53126836,113.9097299,22.52584499,21,52,47
113.9103595,22.53126836,113.8861314,22.49759444,21,52,15
113.9199821,22.53534908,113.9336253,22.54256673,21,82,135
113.9198758,22.50237441,113.9097932,22.48718601,21,81,49
113.9435401,22.57142374,113.9288842,22.57155658,21,179,116
114.0326622,22.52622861,113.9475068,22.530085,21,320,194
113.9097299,22.52584499,113.9102541,22.53969,21,47,51
114.0509944,22.51818853,114.0609908,22.52112392,21,373,415
114.0509944,22.51818853,114.0630944,22.53166919,21,373,425
114.1644832,22.5627503,114.1439608,22.55553852,21,611,600
114.1644832,22.5627503,114.1137426,22.54592857,21,611,521
114.1644832,22.5627503,114.1431392,22.55029515,21,611,599
113.9157571,22.4999147,113.9122306,22.49072078,21,68,58
113.9146524,22.52693923,113.9146524,22.52693923,21,64,64
113.9146524,22.52693923,113.9124902,22.51975214,20,64,59
113.9199821,22.53534908,113.9206722,22.51237556,20,82,87
113.9206722,22.51237556,113.9157571,22.4999147,20,87,68
113.940616,22.54616779,113.9404917,22.55274673,20,162,160
114.1431392,22.55029515,114.1296142,22.54851405,20,599,567
113.9276676,22.51793513,113.9316803,22.51881464,20,109,126
114.1198918,22.59134494,114.1329896,22.5844014,20,540,580
114.1251654,22.55918041,114.1350728,22.55860698,20,559,587
114.1644832,22.5627503,114.1218944,22.54724533,20,611,545
114.1644832,22.5627503,114.1142416,22.53596639,20,611,523
114.1373842,22.58057276,114.1329896,22.5844014,20,591,580
113.9190799,22.54314415,113.9199821,22.53534908,20,77,82
113.9243714,22.52956273,113.9336253,22.54256673,20,96,135
114.036681,22.56561549,114.0510601,22.55123367,20,333,374
114.051626,22.51117383,114.0509944,22.51818853,20,383,373
113.9633477,22.54208418,113.950014,22.57141464,20,239,208
113.9183624,22.5556891,113.947053,22.55887657,20,72,193
114.0326622,22.52622861,114.0374545,22.52361807,20,320,334
113.9190799,22.54314415,113.9406558,22.54287695,20,77,164
113.9430581,22.53002018,113.9451564,22.53255125,20,175,186
114.1153265,22.5588081,114.1118368,22.55867745,20,527,515
113.9340732,22.6281765,113.949855,22.58679623,20,138,206
113.9103595,22.53126836,113.9103595,22.53126836,19,52,52
114.1374593,22.56901485,114.1137426,22.54592857,19,592,521
114.094491,22.56825073,114.0827083,22.571862,19,476,454
114.0057869,22.53644522,114.003149,22.53600659,19,290,283
113.9432989,22.58356573,113.9435401,22.57142374,19,178,179
114.0418832,22.52115999,114.0384573,22.51570189,19,345,336
113.9609211,22.56327217,113.9633477,22.54208418,19,230,239
114.0418832,22.52115999,114.0418832,22.52115999,19,345,345
113.9194863,22.53051904,113.9199821,22.53534908,19,79,82
113.9633477,22.54208418,113.9450315,22.53934678,19,239,184
113.9236399,22.5078368,113.9388906,22.50804836,19,94,157
113.9199821,22.53534908,113.9184525,22.54919782,19,82,74
113.9186832,22.52710131,113.9157571,22.4999147,19,75,68
113.950014,22.57141464,113.9490902,22.54189692,19,208,200
113.9669246,22.56282048,113.9633477,22.54208418,19,247,239
113.9183624,22.5556891,113.9328302,22.52460435,19,72,129
114.0202182,22.53203739,114.0787465,22.54317312,19,310,446
114.161494,22.56428444,114.1338632,22.54921672,19,607,583
114.0910003,22.55842617,114.0439385,22.55674539,18,467,349
114.1374593,22.56901485,114.1136231,22.54241739,18,592,519
113.9199821,22.53534908,113.9173127,22.52114707,18,82,71
114.0202182,22.53203739,113.9475068,22.530085,18,310,194
114.113805,22.53838078,114.1142416,22.53596639,18,522,523
114.1142416,22.53596639,114.113805,22.53838078,18,523,522
113.9199821,22.53534908,113.9199821,22.53534908,18,82,82
114.0384573,22.51570189,114.0509944,22.51818853,18,336,373
114.0720939,22.53181124,114.0630944,22.53166919,18,436,425
114.1350728,22.55860698,114.1644832,22.5627503,18,587,611
114.1296142,22.54851405,114.1137426,22.54592857,18,567,521
114.0515339,22.52579823,114.0509944,22.51818853,18,382,373
114.0478162,22.5425021,114.0628846,22.54292352,18,362,422
114.0374545,22.52361807,114.0186349,22.53863086,18,334,307
114.0787465,22.54317312,114.0719313,22.54306587,18,446,433
114.0140182,22.53785655,114.0057869,22.53644522,18,301,290
114.112869,22.58470988,114.1380243,22.57118847,18,518,593
113.9633477,22.54208418,113.9188483,22.50788642,18,239,76
113.9528965,22.55975497,113.953809,22.55115046,18,214,216
113.9606305,22.58492456,113.9606305,22.58492456,18,228,228
113.9432989,22.58356573,113.9404917,22.55274673,18,178,160
113.9633477,22.54208418,113.9157571,22.4999147,18,239,68
113.9528965,22.55975497,113.9633477,22.54208418,18,214,239
113.9633477,22.54208418,113.9475068,22.530085,18,239,194
114.1725511,22.56285092,114.1338632,22.54921672,18,619,583
113.9633477,22.54208418,113.9184525,22.54919782,18,239,74
113.950014,22.57141464,113.9336253,22.54256673,18,208,135
113.8861314,22.49759444,113.915445,22.51041213,17,15,66
114.03538,22.56783125,114.0326849,22.56218702,17,328,321
113.8861314,22.49759444,113.9103595,22.53126836,17,15,52
114.1334875,22.57130371,114.121489,22.56909791,17,582,543
114.0374545,22.52361807,114.0554832,22.51394382,17,334,391
113.9124902,22.51975214,113.9143134,22.53554164,17,59,63
113.9194863,22.53051904,113.9336253,22.54256673,17,79,135
113.9243714,22.52956273,113.9157571,22.4999147,17,96,68
113.9633477,22.54208418,114.0186349,22.53863086,17,239,307
113.9633477,22.54208418,114.0234096,22.53944781,17,239,312
114.1574123,22.56421051,114.1338632,22.54921672,17,602,583
113.9102541,22.53969,113.9143134,22.53554164,17,51,63
113.9276027,22.51295673,113.9316803,22.51881464,17,108,126
114.0554832,22.51394382,114.0609908,22.52112392,17,391,415
113.9328845,22.50312846,113.9388906,22.50804836,17,131,157
114.1251654,22.55918041,114.1374593,22.56901485,17,559,592
113.9494284,22.57980162,113.9342099,22.5714262,17,203,139
114.112869,22.58470988,114.1167791,22.54823711,17,518,530
114.0326622,22.52622861,114.0294193,22.55657306,17,320,317
114.1329896,22.5844014,114.1373842,22.58057276,17,580,591
113.9494284,22.57980162,113.949855,22.58679623,17,203,206
113.9146524,22.52693923,113.9143134,22.53554164,17,64,63
113.9035937,22.51661875,113.9102541,22.53969,17,36,51
113.9146524,22.52693923,113.891893,22.50419438,17,64,22
113.9713587,22.53910036,113.9633477,22.54208418,17,253,239
114.1338632,22.54921672,114.1431392,22.55029515,17,583,599
113.891893,22.50419438,113.9035937,22.51661875,17,22,36
114.0289969,22.52073647,114.051626,22.51117383,17,316,383
114.0255833,22.53127556,113.9328302,22.52460435,17,315,129
113.9118129,22.50807653,113.9188483,22.50788642,17,57,76
113.983442,22.5604799,114.0326849,22.56218702,16,271,321
114.0515339,22.52579823,114.058129,22.53753671,16,382,406
113.9155517,22.54329581,113.9406558,22.54287695,16,67,164
113.9190799,22.54314415,113.9184525,22.54919782,16,77,74
114.0554832,22.51394382,114.0509944,22.51818853,16,391,373
114.1701834,22.6043063,114.1587738,22.60910626,16,615,604
114.0509944,22.51818853,114.0419012,22.51290975,16,373,346
114.1644832,22.5627503,114.1644832,22.5627503,16,611,611
114.112869,22.58470988,114.094491,22.56825073,16,518,476
114.0419012,22.51290975,114.0509944,22.51818853,16,346,373
113.950014,22.57141464,113.940616,22.54616779,16,208,162
114.0630944,22.53166919,114.0787465,22.54317312,16,425,446
114.1180108,22.5436417,114.1142416,22.53596639,16,536,523
113.9621778,22.53376133,113.9328302,22.52460435,16,233,129
114.1350728,22.55860698,114.1063186,22.54472798,16,587,505
113.9491413,22.54326376,113.9223777,22.54298115,16,202,90
114.1350728,22.55860698,114.1574123,22.56421051,16,587,602
113.8861314,22.49759444,113.9097932,22.48718601,16,15,49
113.9194863,22.53051904,113.9406558,22.54287695,16,79,164
114.1361313,22.54951279,114.1296142,22.54851405,16,590,567
113.9763421,22.55686165,113.9491413,22.54326376,16,258,202
114.0202182,22.53203739,113.9206722,22.51237556,16,310,87
114.1329896,22.5844014,114.1301103,22.58432145,16,580,570
114.0326622,22.52622861,114.0186349,22.53863086,16,320,307
113.949855,22.58679623,113.9340732,22.6281765,16,206,138
113.9190799,22.54314415,113.9344095,22.55532607,16,77,142
114.0609908,22.52112392,114.0487663,22.51081322,16,415,370
114.0627997,22.54753664,114.0761521,22.54702107,15,421,440
114.112869,22.58470988,114.0827083,22.571862,15,518,454
114.1080704,22.57251255,114.107525,22.56679353,15,511,508
113.9188483,22.50788642,113.9097932,22.48718601,15,76,49
114.1374593,22.56901485,114.1338852,22.55688848,15,592,584
113.9118129,22.50807653,113.9328302,22.52460435,15,57,129
113.9362441,22.50801811,113.9388906,22.50804836,15,148,157
113.9633477,22.54208418,113.9465147,22.50809509,15,239,191
114.0486119,22.51236018,114.0554832,22.51394382,15,368,391
113.9465147,22.50809509,113.9633477,22.54208418,15,191,239
113.9606305,22.58492456,113.9832957,22.58805165,15,228,270
113.8861314,22.49759444,113.891893,22.50419438,15,15,22
113.9270312,22.53547206,113.9157571,22.4999147,15,103,68
113.9103595,22.53126836,113.9336253,22.54256673,15,52,135
114.1421959,22.58574713,114.1329896,22.5844014,15,598,580
113.9155517,22.54329581,113.9328302,22.52460435,15,67,129
113.9276027,22.51295673,113.9404917,22.55274673,15,108,160
113.9633477,22.54208418,113.9223777,22.54298115,15,239,90
114.0609908,22.52112392,114.0597198,22.52591345,15,415,413
113.950014,22.57141464,113.9406558,22.54287695,15,208,164
113.9607244,22.5495522,113.9490902,22.54189692,15,229,200
113.950014,22.57141464,113.9633477,22.54208418,15,208,239
113.9184525,22.54919782,113.9449508,22.54305787,15,74,182
113.8861314,22.49759444,113.8861314,22.49759444,15,15,15
113.950014,22.57141464,113.9466447,22.56528032,15,208,192
113.9612238,22.55277958,113.9713587,22.53910036,15,231,253
113.9465147,22.50809509,113.9385133,22.52123067,15,191,156
113.9538224,22.57483257,113.940445,22.55527886,15,217,159
113.9276676,22.51793513,113.9328302,22.52460435,15,109,129
113.8842019,22.48371785,113.9085402,22.4799661,15,12,46
114.0609908,22.52112392,114.041572,22.51137132,15,415,344
114.0326622,22.52622861,113.9450315,22.53934678,15,320,184
114.0326622,22.52622861,114.051626,22.51117383,15,320,383
114.107525,22.56679353,114.1066741,22.54129214,15,508,506
114.0418832,22.52115999,114.051626,22.51117383,15,345,383
114.161494,22.56428444,114.1350728,22.55860698,15,607,587
114.0542878,22.56237068,114.0542878,22.56237068,15,389,389
114.112869,22.58470988,114.1259119,22.54950226,15,518,561
113.9183624,22.5556891,113.9404917,22.55274673,15,72,160
114.0361459,22.56279243,113.940445,22.55527886,15,331,159
114.1182376,22.56567127,114.1136231,22.54241739,15,537,519
113.9494284,22.57980162,113.940445,22.55527886,15,203,159
114.112869,22.58470988,114.1338632,22.54921672,15,518,583
113.977941,22.58713395,113.9606305,22.58492456,15,264,228
113.9633477,22.54208418,114.0057869,22.53644522,15,239,290
114.1373842,22.58057276,114.1373842,22.58057276,15,591,591
114.1326839,22.57969837,114.1227587,22.57932726,15,578,549
114.0374545,22.52361807,114.024544,22.53522614,15,334,313
114.0478162,22.5425021,114.0719313,22.54306587,15,362,433
113.9102541,22.53969,113.9102541,22.53969,15,51,51
113.9633477,22.54208418,113.9623287,22.5599897,15,239,235
114.1701834,22.6043063,114.1251654,22.55918041,15,615,559
113.9097299,22.52584499,113.9491413,22.54326376,15,47,202
114.1655481,22.56688872,114.1107498,22.54543716,15,613,513
114.1644087,22.56680131,114.1338632,22.54921672,15,609,583
113.9622388,22.53100351,113.9328302,22.52460435,15,234,129
114.1080704,22.57251255,114.121489,22.56909791,15,511,543
114.107525,22.56679353,114.1040792,22.55862876,15,508,501
114.107525,22.56679353,114.1080704,22.57251255,15,508,511
114.0992232,22.56634588,114.0991397,22.5700848,15,482,481
114.1374593,22.56901485,114.0787465,22.54317312,15,592,446
114.0057869,22.53644522,114.0140182,22.53785655,15,290,301
114.0202182,22.53203739,113.992795,22.53499701,15,310,279
113.9491413,22.54326376,113.940445,22.55527886,15,202,159
113.9085402,22.4799661,113.9004881,22.4769385,14,46,32
113.9621778,22.53376133,113.9450315,22.53934678,14,233,184
114.1701834,22.6043063,114.1172394,22.55115992,14,615,533
114.0629734,22.53761185,114.0510601,22.55123367,14,423,374
113.9186832,22.52710131,113.9406558,22.54287695,14,75,164
114.1374593,22.56901485,114.1350728,22.55860698,14,592,587
114.1178114,22.57094116,114.112869,22.58470988,14,534,518
114.1654621,22.57111773,114.1338632,22.54921672,14,612,583
113.9084227,22.51486106,113.915445,22.51041213,14,43,66
113.9103595,22.53126836,113.9143134,22.53554164,14,52,63
113.9633477,22.54208418,113.9243714,22.52956273,14,239,96
114.0374545,22.52361807,114.0609908,22.52112392,14,334,415
114.1644832,22.5627503,114.0787465,22.54317312,14,611,446
114.0374545,22.52361807,113.9452663,22.52433567,14,334,189
113.9606305,22.58492456,113.9494284,22.57980162,14,228,203
113.9146524,22.52693923,113.9404917,22.55274673,14,64,160
113.9186832,22.52710131,113.9199821,22.53534908,14,75,82
114.0554832,22.51394382,114.051626,22.51117383,14,391,383
113.9124902,22.51975214,113.915445,22.51041213,14,59,66
114.1259306,22.54791806,114.1063186,22.54472798,14,562,505
113.9621778,22.53376133,113.9407019,22.5414765,14,233,165
114.1329896,22.5844014,114.1198918,22.59134494,14,580,540
114.1301103,22.58432145,114.1245005,22.57227306,14,570,554
114.161494,22.56428444,114.1136873,22.54066321,14,607,520
113.9190799,22.54314415,113.9633477,22.54208418,14,77,239
114.0326849,22.56218702,114.0439385,22.55674539,14,321,349
113.9183624,22.5556891,113.9343203,22.5597933,14,72,141
113.9221011,22.51789094,113.9359217,22.5218824,14,89,147
114.1227587,22.57932726,114.1248217,22.56213733,14,549,557
113.9633477,22.54208418,113.9713587,22.53910036,14,239,253
113.9538224,22.57483257,113.947053,22.55887657,14,217,193
113.9406558,22.54287695,113.9143134,22.53554164,14,164,63
114.1040792,22.55862876,114.1066741,22.54129214,14,501,506
113.9404191,22.59385827,113.9404191,22.59385827,14,158,158
113.9406558,22.54287695,113.9343203,22.5597933,14,164,141
114.0444279,22.52568669,114.0609908,22.52112392,14,354,415
114.0326622,22.52622861,114.0418832,22.52115999,14,320,345
114.0487414,22.56504952,113.940445,22.55527886,14,369,159
114.1063186,22.54472798,114.0951991,22.54345208,14,505,479
113.9609211,22.56327217,113.9713587,22.53910036,14,230,253
114.107525,22.56679353,114.1049168,22.5492582,14,508,503
114.0326622,22.52622861,113.9206722,22.51237556,14,320,87
114.0326622,22.52622861,114.0509944,22.51818853,14,320,373
113.9194863,22.53051904,113.9186832,22.52710131,14,79,75
114.1296142,22.54851405,114.1063186,22.54472798,14,567,505
114.1338632,22.54921672,114.1063186,22.54472798,14,583,505
114.1338632,22.54921672,114.1296142,22.54851405,14,583,567
114.0202182,22.53203739,113.9157571,22.4999147,14,310,68
114.1350728,22.55860698,114.1318637,22.56197601,14,587,576
114.0439385,22.55674539,114.0677747,22.5580683,14,349,427
113.891893,22.50419438,113.9103595,22.53126836,14,22,52
114.1303047,22.55464135,114.1063186,22.54472798,13,571,505
114.1303047,22.55464135,114.1142416,22.53596639,13,571,523
114.1361313,22.54951279,114.1218944,22.54724533,13,590,545
113.944896,22.54622325,113.9451564,22.53255125,13,181,186
114.0361459,22.56279243,113.9480536,22.55580203,13,331,195
114.1338632,22.54921672,114.161494,22.56428444,13,583,607
114.112869,22.58470988,114.1178114,22.57094116,13,518,534
113.9173127,22.52114707,113.9199821,22.53534908,13,71,82
114.1644832,22.5627503,114.1259306,22.54791806,13,611,562
113.9184525,22.54919782,113.9288842,22.57155658,13,74,116
114.1259119,22.54950226,114.1137426,22.54592857,13,561,521
113.9430581,22.53002018,113.9505875,22.535838,13,175,209
114.1350728,22.55860698,114.1809616,22.55777371,13,587,620
113.9035937,22.51661875,113.9097299,22.52584499,13,36,47
113.904845,22.53164591,113.9103595,22.53126836,13,39,52
114.1644087,22.56680131,114.1350728,22.55860698,13,609,587
114.0444279,22.52568669,114.0597198,22.52591345,13,354,413
114.0202182,22.53203739,114.0337852,22.5302178,13,310,324
113.9136576,22.53117958,113.9146524,22.52693923,13,61,64
114.0439385,22.55674539,114.0510601,22.55123367,13,349,374
113.9491413,22.54326376,114.0439385,22.55674539,13,202,349
114.1251654,22.55918041,114.1063186,22.54472798,13,559,505
114.112869,22.58470988,114.1040792,22.55862876,13,518,501
113.9118129,22.50807653,113.9170644,22.50329636,13,57,70
